id,firstName,lastName,teamId,position,externalId
,Josh,Allen,BUF,QB,
,James,Cook,BUF,RB,
,Ray,Davis,BUF,RB,
,Khalil,Shakir,BUF,WR,
,Keon,Coleman,BUF,WR,
,Josh,Palmer,BUF,WR,
,Dalton,Kincaid,BUF,TE,
,Dawson,Knox,BUF,TE,
,Tyler,Bass,BUF,K,
,Tua,Tagovailoa,MIA,QB,
,De'Von,Achane,MIA,RB,
,Jaylen,Wright,MIA,RB,
,Tyreek,Hill,MIA,WR,
,Jaylen,Waddle,MIA,WR,
,Malik,Washington,MIA,WR,
,Julian,Hill,MIA,TE,
,Jason,Sanders,MIA,K,
,Drake,Maye,NE,QB,
,Rhamondre,Stevenson,NE,RB,
,Antonio,Gibson,NE,RB,
,Stefon,Diggs,NE,WR,
,DeMario,Douglas,NE,WR,
,Kayshon,Boutte,NE,WR,
,Hunter,Henry,NE,TE,
,Austin,Hooper,NE,TE,
,Joey,Slye,NE,K,
,Justin,Fields,NYJ,QB,
,Breece,Hall,NYJ,RB,
,Braelon,Allen,NYJ,RB,
,Garrett,Wilson,NYJ,WR,
,Allen,Lazard,NYJ,WR,
,Tyler,Conklin,NYJ,TE,
,Greg,Zuerlein,NYJ,K,
,Lamar,Jackson,BAL,QB,
,Derrick,Henry,BAL,RB,
,Justice,Hill,BAL,RB,
,Zay,Flowers,BAL,WR,
,Rashod,Bateman,BAL,WR,
,Mark,Andrews,BAL,TE,
,Isaiah,Likely,BAL,TE,
,Justin,Tucker,BAL,K,
,Joe,Burrow,CIN,QB,
,Chase,Brown,CIN,RB,
,Zack,Moss,CIN,RB,
,Ja'Marr,Chase,CIN,WR,
,Tee,Higgins,CIN,WR,
,Andrei,Iosivas,CIN,WR,
,Mike,Gesicki,CIN,TE,
,Evan,McPherson,CIN,K,
,Deshaun,Watson,CLE,QB,
,Jerome,Ford,CLE,RB,
,Quinshon,Judkins,CLE,RB,
,Jerry,Jeudy,CLE,WR,
,Cedric,Tillman,CLE,WR,
,David,Njoku,CLE,TE,
,Dustin,Hopkins,CLE,K,
,Aaron,Rodgers,PIT,QB,
,Jaylen,Warren,PIT,RB,
,Kaleb,Johnson,PIT,RB,
,DK,Metcalf,PIT,WR,
,Calvin,Austin,PIT,WR,
,Pat,Freiermuth,PIT,TE,
,Jonnu,Smith,PIT,TE,
,Chris,Boswell,PIT,K,
,C.J.,Stroud,HOU,QB,
,Joe,Mixon,HOU,RB,
,Nick,Chubb,HOU,RB,
,Nico,Collins,HOU,WR,
,Christian,Kirk,HOU,WR,
,Jayden,Higgins,HOU,WR,
,Dalton,Schultz,HOU,TE,
,Ka'imi,Fairbairn,HOU,K,
,Anthony,Richardson,IND,QB,
,Daniel,Jones,IND,QB,
,Jonathan,Taylor,IND,RB,
,Michael,Pittman,IND,WR,
,Josh,Downs,IND,WR,
,Alec,Pierce,IND,WR,
,Tyler,Warren,IND,TE,
,Spencer,Shrader,IND,K,
,Trevor,Lawrence,JAX,QB,
,Travis,Etienne,JAX,RB,
,Tank,Bigsby,JAX,RB,
,Brian,Thomas,JAX,WR,
,Travis,Hunter,JAX,WR,
,Dyami,Brown,JAX,WR,
,Brenton,Strange,JAX,TE,
,Cam,Little,JAX,K,
,Cam,Ward,TEN,QB,
,Tony,Pollard,TEN,RB,
,Tyjae,Spears,TEN,RB,
,Calvin,Ridley,TEN,WR,
,Tyler,Lockett,TEN,WR,
,Chig,Okonkwo,TEN,TE,
,Nick,Folk,TEN,K,
,Bo,Nix,DEN,QB,
,J.K.,Dobbins,DEN,RB,
,RJ,Harvey,DEN,RB,
,Courtland,Sutton,DEN,WR,
,Marvin,Mims,DEN,WR,
,Devaughn,Vele,DEN,WR,
,Evan,Engram,DEN,TE,
,Wil,Lutz,DEN,K,
,Patrick,Mahomes,KC,QB,
,Isiah,Pacheco,KC,RB,
,Kareem,Hunt,KC,RB,
,Rashee,Rice,KC,WR,
,Xavier,Worthy,KC,WR,
,Marquise,Brown,KC,WR,
,Travis,Kelce,KC,TE,
,Noah,Gray,KC,TE,
,Harrison,Butker,KC,K,
,Geno,Smith,LV,QB,
,Ashton,Jeanty,LV,RB,
,Zamir,White,LV,RB,
,Jakobi,Meyers,LV,WR,
,Tre,Tucker,LV,WR,
,Brock,Bowers,LV,TE,
,Michael,Mayer,LV,TE,
,Daniel,Carlson,LV,K,
,Justin,Herbert,LAC,QB,
,Najee,Harris,LAC,RB,
,Omarion,Hampton,LAC,RB,
,Ladd,McConkey,LAC,WR,
,Quentin,Johnston,LAC,WR,
,Keenan,Allen,LAC,WR,
,Will,Dissly,LAC,TE,
,Cameron,Dicker,LAC,K,
,Dak,Prescott,DAL,QB,
,Javonte,Williams,DAL,RB,
,Jaydon,Blue,DAL,RB,
,CeeDee,Lamb,DAL,WR,
,George,Pickens,DAL,WR,
,Jalen,Tolbert,DAL,WR,
,Jake,Ferguson,DAL,TE,
,Brandon,Aubrey,DAL,K,
,Russell,Wilson,NYG,QB,
,Jaxson,Dart,NYG,QB,
,Tyrone,Tracy,NYG,RB,
,Devin,Singletary,NYG,RB,
,Malik,Nabers,NYG,WR,
,Wan'Dale,Robinson,NYG,WR,
,Darius,Slayton,NYG,WR,
,Theo,Johnson,NYG,TE,
,Graham,Gano,NYG,K,
,Jalen,Hurts,PHI,QB,
,Saquon,Barkley,PHI,RB,
,Will,Shipley,PHI,RB,
,A.J.,Brown,PHI,WR,
,DeVonta,Smith,PHI,WR,
,Jahan,Dotson,PHI,WR,
,Dallas,Goedert,PHI,TE,
,Jake,Elliott,PHI,K,
,Jayden,Daniels,WAS,QB,
,Brian,Robinson,WAS,RB,
,Austin,Ekeler,WAS,RB,
,Terry,McLaurin,WAS,WR,
,Deebo,Samuel,WAS,WR,
,Noah,Brown,WAS,WR,
,Zach,Ertz,WAS,TE,
,Matt,Gay,WAS,K,
,Caleb,Williams,CHI,QB,
,D'Andre,Swift,CHI,RB,
,Roschon,Johnson,CHI,RB,
,DJ,Moore,CHI,WR,
,Rome,Odunze,CHI,WR,
,Luther,Burden,CHI,WR,
,Cole,Kmet,CHI,TE,
,Colston,Loveland,CHI,TE,
,Cairo,Santos,CHI,K,
,Jared,Goff,DET,QB,
,Jahmyr,Gibbs,DET,RB,
,David,Montgomery,DET,RB,
,Amon-Ra,St. Brown,DET,WR,
,Jameson,Williams,DET,WR,
,Tim,Patrick,DET,WR,
,Sam,LaPorta,DET,TE,
,Jake,Bates,DET,K,
,Jordan,Love,GB,QB,
,Josh,Jacobs,GB,RB,
,MarShawn,Lloyd,GB,RB,
,Jayden,Reed,GB,WR,
,Romeo,Doubs,GB,WR,
,Matthew,Golden,GB,WR,
,Tucker,Kraft,GB,TE,
,Brandon,McManus,GB,K,
,J.J.,McCarthy,MIN,QB,
,Aaron,Jones,MIN,RB,
,Jordan,Mason,MIN,RB,
,Justin,Jefferson,MIN,WR,
,Jordan,Addison,MIN,WR,
,Jalen,Nailor,MIN,WR,
,T.J.,Hockenson,MIN,TE,
,Will,Reichard,MIN,K,
,Michael,Penix,ATL,QB,
,Bijan,Robinson,ATL,RB,
,Tyler,Allgeier,ATL,RB,
,Drake,London,ATL,WR,
,Darnell,Mooney,ATL,WR,
,Ray-Ray,McCloud,ATL,WR,
,Kyle,Pitts,ATL,TE,
,Younghoe,Koo,ATL,K,
,Bryce,Young,CAR,QB,
,Chuba,Hubbard,CAR,RB,
,Rico,Dowdle,CAR,RB,
,Tetairoa,McMillan,CAR,WR,
,Xavier,Legette,CAR,WR,
,Jalen,Coker,CAR,WR,
,Ja'Tavion,Sanders,CAR,TE,
,Eddy,Pineiro,CAR,K,
,Spencer,Rattler,NO,QB,
,Tyler,Shough,NO,QB,
,Alvin,Kamara,NO,RB,
,Kendre,Miller,NO,RB,
,Chris,Olave,NO,WR,
,Rashid,Shaheed,NO,WR,
,Juwan,Johnson,NO,TE,
,Blake,Grupe,NO,K,
,Baker,Mayfield,TB,QB,
,Bucky,Irving,TB,RB,
,Rachaad,White,TB,RB,
,Mike,Evans,TB,WR,
,Chris,Godwin,TB,WR,
,Emeka,Egbuka,TB,WR,
,Cade,Otton,TB,TE,
,Chase,McLaughlin,TB,K,
,Kyler,Murray,ARI,QB,
,James,Conner,ARI,RB,
,Trey,Benson,ARI,RB,
,Marvin,Harrison,ARI,WR,
,Michael,Wilson,ARI,WR,
,Greg,Dortch,ARI,WR,
,Trey,McBride,ARI,TE,
,Chad,Ryland,ARI,K,
,Matthew,Stafford,LAR,QB,
,Kyren,Williams,LAR,RB,
,Blake,Corum,LAR,RB,
,Puka,Nacua,LAR,WR,
,Davante,Adams,LAR,WR,
,Tutu,Atwell,LAR,WR,
,Tyler,Higbee,LAR,TE,
,Joshua,Karty,LAR,K,
,Brock,Purdy,SF,QB,
,Christian,McCaffrey,SF,RB,
,Isaac,Guerendo,SF,RB,
,Brandon,Aiyuk,SF,WR,
,Jauan,Jennings,SF,WR,
,Ricky,Pearsall,SF,WR,
,George,Kittle,SF,TE,
,Jake,Moody,SF,K,
